6655,What's Michael? 2,,https://myanimelist.net/images/anime/7/33925.jpg,OVA,1,FALSE,"Jul 25, 1988",44 min.,G - All Ages,6.23,70,6669,11066,,"J.C.Staff, Kitty Films",Comedy
6656,Wizard Barristers: Benmashi Cecil,Wizard Barristers,https://myanimelist.net/images/anime/9/58145.jpg,TV,12,FALSE,"Jan 13, 2014 to Mar 31, 2014",24 min. per ep.,PG-13 - Teens 13 or older,6.23,17492,6670,1669,,Arms,"Action, Police, Magic, Fantasy"
6657,Yu☆Gi☆Oh! Zexal Special,,https://myanimelist.net/images/anime/3/44710.jpg,Special,1,FALSE,"Sep 17, 2012",8 min.,PG-13 - Teens 13 or older,6.23,802,6671,6171,,,"Action, Fantasy, Game, Shounen"
6658,Zephyr,,https://myanimelist.net/images/anime/7/68127.jpg,Special,1,FALSE,"Oct 11, 2014",26 min.,PG-13 - Teens 13 or older,6.23,148,6672,7096,,Satelight,"Music, Drama"
6659,Brain Powerd,,https://myanimelist.net/images/anime/1749/91562.jpg,TV,26,FALSE,"Apr 8, 1998 to Nov 11, 1998",25 min. per ep.,PG-13 - Teens 13 or older,6.22,1629,6674,4485,,Sunrise,"Action, Adventure, Mecha, Sci-Fi"
6660,Colorful,Colorful,https://myanimelist.net/images/anime/8/19229.jpg,TV,16,FALSE,"Sep 6, 1999 to Sep 30, 1999",6 min. per ep.,R+ - Mild Nudity,6.22,6352,6676,2944,,"Triangle Staff, Studio Wombat","Comedy, Ecchi, Slice of Life"
6661,Devilman: Crybaby - Digest Eizou,,https://myanimelist.net/images/anime/1959/91379.jpg,ONA,1,FALSE,"Mar 24, 2018",3 min.,PG-13 - Teens 13 or older,6.22,151,6677,6849,,Science SARU,"Action, Demons, Horror, Supernatural"
6662,Dies Irae: Irasshai Zonnenji,,https://myanimelist.net/images/anime/13/88198.jpg,ONA,0,TRUE,"Jun 28, 2017 to ?",5 min.,PG-13 - Teens 13 or older,6.22,74,6678,7376,,A.C.G.T.,"Comedy, Parody"
6663,Eureka Seven AO: Aratanari Fukaki Ao,,https://myanimelist.net/images/anime/7/43495.jpg,ONA,10,FALSE,"Oct 5, 2012 to Dec 7, 2012",40 sec. per ep.,PG-13 - Teens 13 or older,6.22,1047,6679,5257,,Bones,"Slice of Life, Comedy"
6664,"Boku, Otaryman.",,https://myanimelist.net/images/anime/13/19796.jpg,OVA,1,FALSE,"Jan 29, 2010",35 min.,PG-13 - Teens 13 or older,6.22,1945,6679,5602,,"Panda Factory, Studio PuYUKAI","Comedy, Seinen, Slice of Life"
6665,Anju to Zushioumaru,,https://myanimelist.net/images/anime/8/18284.jpg,Movie,1,FALSE,"Jul 19, 1961",1 hr. 23 min.,G - All Ages,6.22,337,6680,8448,,Toei Animation,"Fantasy, Historical"
6666,Final Fantasy,Legend of the Crystals: Final Fantasy,https://myanimelist.net/images/anime/10/88663.jpg,OVA,4,FALSE,"Mar 21, 1994 to Jul 21, 1994",30 min. per ep.,PG-13 - Teens 13 or older,6.22,4865,6680,3445,,Madhouse,"Action, Adventure, Comedy, Fantasy"
6667,Future War 198X-nen,Future War Year 198X,https://myanimelist.net/images/anime/11/23491.jpg,Movie,1,FALSE,"Oct 30, 1982",2 hr. 5 min.,PG-13 - Teens 13 or older,6.22,193,6681,8795,,"Toei Animation, Studio World","Military, Drama"
6668,Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,,https://myanimelist.net/images/anime/9/27355.jpg,Movie,1,FALSE,"Jul 12, 1997",23 min.,G - All Ages,6.22,90,6682,9960,,Toei Animation,"Adventure, Comedy, Fantasy, Horror, Supernatural"
6669,Genji,,https://myanimelist.net/images/anime/11/21295.jpg,OVA,2,FALSE,"May 21, 1992 to Oct 10, 1992",45 min. per ep.,None,6.22,56,6684,9450,,J.C.Staff,"Historical, Magic, Romance"
6670,Girlfriend (Note),Girl Friend Note,https://myanimelist.net/images/anime/8/82065.jpg,ONA,3,FALSE,"Oct 22, 2016 to Nov 5, 2016",10 min. per ep.,G - All Ages,6.22,333,6685,6373,,,"Music, School"
6671,Go! Go! Ackman,,https://myanimelist.net/images/anime/5/14509.jpg,OVA,1,FALSE,1994,15 min.,PG-13 - Teens 13 or older,6.22,391,6686,8533,,Toei Animation,"Action, Comedy, Demons, Supernatural"
6672,Genei Toushi Bastof Lemon,BASToF Syndrome,https://myanimelist.net/images/anime/6/21151.jpg,TV,26,FALSE,"May 3, 2001 to Nov 15, 2001",24 min. per ep.,PG-13 - Teens 13 or older,6.22,190,6686,8666,,Dongwoo A&amp;E,"Adventure, Mecha, Sci-Fi"
6673,Harukanaru Toki no Naka de: Hachiyou Shou Recap,,https://myanimelist.net/images/anime/5/72168.jpg,Special,1,FALSE,"Jul 28, 2006",32 min.,PG-13 - Teens 13 or older,6.22,86,6688,9642,,,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
6674,Huckleberry no Bouken,,https://myanimelist.net/images/anime/13/3207.jpg,TV,26,FALSE,"Jan 2, 1976 to Jun 25, 1976",25 min. per ep.,G - All Ages,6.22,396,6689,8392,,Group TAC,"Adventure, Historical, Drama"
6675,Good Morning Call,,https://myanimelist.net/images/anime/5/4064.jpg,OVA,1,FALSE,"Aug 2, 2001",19 min.,PG - Children,6.22,2508,6689,4993,,Production I.G,"Comedy, Drama, Romance, School, Shoujo"
6676,Heart no Kuni no Alice: Wonderful Wonder World,,https://myanimelist.net/images/anime/10/28748.jpg,Movie,1,FALSE,"Jul 30, 2011",1 hr. 24 min.,PG-13 - Teens 13 or older,6.22,7835,6689,2441,,Asahi Production,"Fantasy, Harem, Romance, Shoujo"
6677,Jinki:Extend,Jinki: Extend,https://myanimelist.net/images/anime/3/44792.jpg,TV,12,FALSE,"Jan 6, 2005 to Mar 24, 2005",23 min. per ep.,R - 17+ (violence & profanity),6.22,3209,6691,3946,,feel.,"Mecha, Sci-Fi"
6678,Juugo Shounen Hyouryuuki,Adrift in the Pacific,https://myanimelist.net/images/anime/8/9763.jpg,Special,1,FALSE,"Aug 22, 1982",1 hr. 25 min.,G - All Ages,6.22,114,6692,10018,,Toei Animation,"Adventure, Historical, Drama"
6679,"Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)",,https://myanimelist.net/images/anime/9/78037.jpg,Special,1,FALSE,"Dec 26, 2008",1 min.,PG-13 - Teens 13 or older,6.22,158,6693,8927,,Hal Film Maker,Ecchi
